ONS_ID,facility_type,popwt_avg_time_s
3110,shade_structure,270
3110,splash_pad,99
3111,arena,178
3111,cmmt_centre,84
3111,fastfood,74
3111,gallery,258
3111,library,113
3111,mall,314
3111,movie_theatre,277
3111,museum,214
3111,shade_structure,98
3111,splash_pad,75
3112,arena,69
3112,cmmt_centre,67
3112,fastfood,59
3112,gallery,307
3112,library,194
3112,mall,242
3112,movie_theatre,240
3112,museum,288
3112,shade_structure,109
3112,splash_pad,75
3113,arena,641
3113,cmmt_centre,372
3113,fastfood,369
3113,gallery,1198
3113,library,1085
3113,mall,917
3113,movie_theatre,1159
3113,museum,1137
3113,shade_structure,326
3113,splash_pad,882
3114,arena,293
3114,cmmt_centre,301
3114,fastfood,138
3114,gallery,493
3114,library,277
3114,mall,321
3114,movie_theatre,288
3114,museum,543
3114,shade_structure,32
3114,splash_pad,32
3115,arena,93
3115,cmmt_centre,65
3115,fastfood,38
3115,gallery,173
3115,library,168
3115,mall,205
3115,movie_theatre,369
3115,museum,166
3115,shade_structure,55
3115,splash_pad,60
3116,arena,212
3116,cmmt_centre,95
3116,fastfood,60
3116,gallery,447
3116,library,227
3116,mall,180
3116,movie_theatre,457
3116,museum,376
3116,shade_structure,66
3116,splash_pad,96
3117,arena,237
3117,cmmt_centre,178
3117,fastfood,78
3117,gallery,573
3117,library,128
3117,mall,145
3117,movie_theatre,269
3117,museum,452
3117,shade_structure,167
3117,splash_pad,129
